code,city,name,country
agt,ciudad del este,guarani international airport (alejo garcia),paraguay
agu,aguascalientes,aguascalients,mexico
agv,acarigua,acarigua,venezuela
agw,agnew,agnew,australia
agx,agatti island,agatti island,india
agy,argyle downs,argyle downs,australia
agz,aggeneys,aggeneys,south africa
aha,okinawa,naha afb,japan
ahb,abha,abha,saudi arabia
ahc,herlong,amedee aaf,"usa, ca"
ahd,ardmore,downtown,"usa, ok"
ahe,ahe,ahe airport,french polynesia
ahf,arapahoe,municipal,"usa, ne"
ahh,amery,municipal,"usa, wi"
ahi,amahai,amahai,indonesia
ahl,aishalton,aishalton,guyana
ahn,athens,athens,"usa, ga"
aho,alghero,fertilia,italy
ahs,ahuas,ahuas,honduras
aht,amchitka,amchitka,"usa, ak"
ahu,al hoceima,charif al idrissi,morocco
ahy,ambatolahy,ambatolahy,madagascar
ahz,alpe d huez,alpe d huez,france
aia,alliance,alliance,"usa, ne"
aib,anita bay,anita bay,"usa, ak"
aic,airok,airok,marshall islands
aid,anderson,municipal,"usa, in"
aie,aiome,aiome,papua new guinea
aif,assis,assis,brazil
aig,yalinga,yalinga,central african republic
aih,aiambak,aiambak,papua new guinea
aii,alisabieh,alisabieh,djibouti
aik,aiken,municipal,"usa, sc"
ail,ailigandi,ailigandi,panama
aim,ailuk island,ailuk island,marshall islands
ain,wainwright,wainwright,"usa, ak"
aio,atlantic,municipal,"usa, ia"
aip,ailinglapalap island,ailinglapalap island,marshall islands
air,aripuana,aripuana,brazil
ais,arorae island,arorae island,kiribati
ait,aitutaki,aitutaki,cook islands
aiu,atiu island,atiu island,cook islands
aiv,aliceville,george downer,"usa, al"
aiw,ai-ais,ai-ais,namibia
aiy,atlantic city,bader field,"usa, nj"
aiz,kaiser/lake ozark,lee c fine memorial,"usa, mo"
aja,ajaccio,campo dell oro,france
ajf,jouf,jouf,saudi arabia
aji,agri,agri,turkey
ajj,akjoujt,akjoujt,mauritania
ajl,aizawl,aizawl,india
ajn,anjouan,ouani,comoros
ajo,aljouf,aljouf,yemen
ajr,arvidsjaur,arvidsjaur,sweden
ajs,abreojos,abreojos,mexico
aju,aracaju,aracaju,brazil
ajy,agades,mano dayak international airport,niger
aka,ankang,ankang,pr china
akb,atka,atka,"usa, ak"
akc,akron/canton,akron fulton international airport,"usa, oh"
akd,akola,akola,india
ake,akieni,akieni,gabon
akf,kufrah,kufrah,libya
akg,anguganak,anguganak,papua new guinea
aki,akiak,akiak,"usa, ak"
akj,asahikawa,asahikawa,japan
akk,akhiok,akhiok spb,usaak
akl,auckland,auckland international airport,new zealand
akl2,auckland,metropolitan area,new zealand
akm,zakouma,zakouma,chad
akn,king salmon,king salmon,"usa, ak"
ako,akron,colorado plains regional airport,"usa, co"
akp,anaktuvuk,anaktuvuk,"usa, ak"
akq,astraksetra,gunung batin,indonesia
akr,akure,akure,nigeria
aks,auki,gwaunaru'u,solomon islands
akt,akrotiri,akrotiri raf,cyprus
aku,aksu,aksu,pr china
akv,akulivik,akulivik,canada
akx,aktyubinsk,aktyubinsk,kazakhstan
aky,sittwe,civil,myanmar
ala,almaty,almaty international airport,kazakhstan
alb,albany,albany international airport,"usa, ny"
alc,alicante,el altet airport,spain
ald,alerta,alerta,peru
ale,alpine,alpine,"usa, tx"
alf,alta,alta,norway
alg,algiers,houari boumedienne airport,algeria
alh,albany,albany,australia
ali,alice,alice international airport,"usa, tx"
alj,alexander bay,kortdoorn,south africa
alk,asela,asela,ethiopia
all,albenga,albenga,italy
alm,alamogordo,municipal,"usa, nm"
aln,alton,alton,"usa, il"
alo,waterloo,waterloo,"usa, ia"
alp,aleppo,aleppo international airport (nejrab airport),syria
alq,alegrete,federal,brazil
alr,alexandra,alexandra,new zealand
als,alamosa,municipal,"usa, co"
alt,alenquer,alenquer,brazil
alu,alula,alula,somalia
alv,andorra la vella,andorra la vella h/p,andorra
alw,walla walla,walla walla,"usa, wa"
alx,alexander city,thomas c. russell field,"usa, al"
aly,alexandria,el nouzha airport (alexandria international airport),egypt
alz,alitak,alitak spb,"usa, ak"
ama,amarillo,rick husband amarillo international airport,"usa, tx"
amb,ambilobe,ambilobe,madagascar
amc,am timan,am timan,chad
amd,ahmedabad,sardar vallabhbhai patel international airport,india
ame,alto molocue,alto molocue,mozambique
amf,ama,ama,papua new guinea
amg,amboin,amboin,papua new guinea
amh,arba mintch,arba mintch,ethiopia
ami,mataram,selaparang,indonesia
amj,almenara,almenara,brazil
amk,durango,animas airpark,"usa, co"
aml,puerto armuellas,puerto armuellas,panama
amm,amman,queen alia international airport,jordan
amn,alma,gratiot community,"usa, mi"
amo,mao,mao,chad
amp,ampanihy,ampanihy,madagascar
amq,ambon,pattimura,indonesia
amr,arno,arno,marshall islands
ams,amsterdam,amsterdam-schiphol,netherlands
amt,amata,amata,australia
amu,amanab,amanab,papua new guinea
amv,amderma,amderma,russia
amw,ames,ames,"usa, ia"
amx,ammaroo,ammaroo,australia
amy,ambatomainty,ambatomainty,madagascar
amz,ardmore,ardmore,new zealand
ana,anaheim,anaheim,"usa, ca"
anb,anniston,county airport,"usa, al"
anb2,anniston,metropolitan area,"usa, al"
anc,anchorage,ted stevens anchorage international airport,"usa, ak"
and,anderson,anderson,"usa, sc"
ane,angers,marce,france
anf,antofagasta,cerro moreno international airport,chile
ang,angouleme,brie-champniers,france
anh,anuha island resort,anuha island resort,solomon islands
ani,aniak,aniak,"usa, ak"
anj,zanaga,zanaga,congo (roc)
ank,ankara,etimesgut,turkey
anl,andulo,andulo,angola
anm,antalaha,antsirabato,madagascar
ann,annette island,annette island,"usa, ak"
ano,angoche,angoche,mozambique
anp,annapolis,lee,"usa, md"
anq,angola,tri-state steuben city,"usa, in"
anr,antwerp,antwerpen international airport (deurne),belgium
ans,andahuaylas,andahuaylas,peru
ant,st anton,st anton,austria
anu,st. john's,v.c. bird international airport,antigua and barbuda
anv,anvik,anvik,"usa, ak"
anw,ainsworth,ainsworth,"usa, ne"
anx,andenes,andenes,norway
any,anthony,anthony,"usa, ks"
anz,angus downs,angus downs,australia
aoa,aroa,aroa,papua new guinea
aob,annanberg,annanberg,papua new guinea
aoc,altenburg,altenburg nobitz,germany
aod,abou deia,abou deia,chad
aoe,eskisehir,anadolu university,turkey
aog,anshan,anshan,pr china
aoh,liangping,allen county,pr china
aoh2,"lima, oh",allen county,usa
aoi,ancona,falconara,italy
aoj,aomori,aomori,japan
aok,karpathos,karpathos,greece
aol,paso de los libres,paso de los libres,argentina
aon,arona,arona,papua new guinea
aoo,altoona,martinsburg,"usa, pa"
aor,alor setar,alor setar,malaysia
aos,amook,amook,"usa, ak"
aot,aosta,corrado gex,italy
aou,attopeu,attopeu,lao pdr
apa,denver,arapahoe co,"usa, co"
apb,apolo,apolo,bolivia
apc,napa,napa county,"usa, ca"
ape,san juan aposento,san juan aposento,peru
apf,naples,naples,"usa, fl"
apg,aberdeen,phillips aaf,"usa, md"
aph,bowling green,camp a p hill,"usa, va"
api,apiay,apiay,colombia
apk,apataki,apataki,french polynesia
apl,nampula,nampula,mozambique
apn,alpena,alpena county regional,"usa, mi"
apo,apartado,apartado,colombia
app,asapa,asapa,papua new guinea
apq,arapiraca,arapiraca,brazil
apr,april river,april river,papua new guinea
aps,anapolis,anapolis,brazil
apt,jasper,marion county,"usa, tn"
apu,apucarana,apucarana,brazil
apv,apple valley,apple valley,"usa, ca"
apw,apia,faleolo international airport,samoa
apx,arapongas,arapongas,brazil
apy,alto parnaiba,alto parnaiba,brazil
apz,zapala,zapala,argentina
aqa,araraquara,araraquara,brazil
aqb,quiche,quiche airport,guatemala
aqg,anqing,anqing,pr china
aqi,qaisumah,qaisumah,saudi arabia
aqj,aqaba,king hussein international airport,jordan
aqm,ariquemes,ariquemes,brazil
aqp,arequipa,rodriguez ballon international airport,peru
aqs,saqani,saqani,fiji
aqy,alyeska,alyeska,"usa, ak"
ara,new iberia,acadiana regional,"usa, la"
arb,ann arbor,municipal,"usa, mi"
arc,arctic village,arctic village,"usa, ak"
ard,alor island,alor island,indonesia
are,arecibo,antonio/nery/juarbe pol,puerto rico
arf,acaricuara,acaricuara,colombia
arg,walnut ridge,walnut ridge,"usa, ar"
arh,arkhangelsk,talagi airport,russia
ari,arica,chacalluta international airport,chile
arj,arso,arso,indonesia
ark,arusha,arusha,tanzania
arl,arly,arly,burkina faso
arm,armidale,armidale,australia
arn,stockholm,arlanda,sweden
aro,arboletas,arboletas,colombia
arp,aragip,aragip,papua new guinea
arq,arauquita,arauquita,colombia
arr,alto rio senguerr,alto rio senguerr,argentina
ars,aragarcas,aragarcas,brazil
art,watertown,watertown,"usa, ny"
aru,aracatuba,aracatuba,brazil
arv,minocqua,noble f. lee,"usa, wi"
arw,arad,arad,romania
arx,asbury park,asbury park (closed 1977),"usa, nj"
ary,ararat,ararat,australia
arz,n'zeto,n'zeto,angola
asa,assab,assab international airport,eritrea
asb,ashgabat,ashgabat airport,turkmenistan
asc,ascension,ascension,bolivia
asd,andros town,andros town international airport,bahamas
ase,aspen,aspen,"usa, co"
asf,astrakhan,astrakhan,russia
asg,ashburton,ashburton,new zealand
ash,nashua,boire field,"usa, nh"
asi,georgetown,wideawake fld,st. helena
asj,amami oshima is,amami-oshima airport,japan
ask,yamoussoukro,yamoussoukro,cote d'ivoire
asl,marshall,harrison county,"usa, tx"
asm,asmara,asmara international airport,eritrea
asn,talladega,talladega,"usa, al"
aso,asosa,asosa,ethiopia
asp,alice springs,alice springs,australia
asq,austin,austin,"usa, nv"
asr,kayseri,kayseri,turkey
ast,astoria,astoria,"usa, or"
asu,asuncion,silvio pettirossi international airport,paraguay
asv,amboseli,amboseli,kenya
asw,aswan,aswan international airport,egypt
asx,ashland,ashland,"usa, wi"
asy,ashley,ashley,"usa, nd"
asz,asirim,asirim,papua new guinea
ata,anta,anta,peru
atb,atbara,atbara,sudan
atc,arthur's town,arthur's town,bahamas
atd,atoifi,atoifi,solomon islands
ate,antlers,antlers,"usa, ok"
atf,ambato,chachoan,ecuador
atg,attock,attock,pakistan
ath,athens,eleftherios venizelos international airport,greece
ati,artigas,artigas,uruguay
atj,antsirabe,antsirabe,madagascar
atk,atqasuk,atqasuk,"usa, ak"
atl,atlanta,hartsfield-jackson atlanta international airport,"usa, ga"
atm,altamira,altamira,brazil
atn,namatanai,namatanai,papua new guinea
ato,athens,ohio university,"usa, oh"
atp,aitape,airstrip,papua new guinea
atp2,aitape,metropolitan area,papua new guinea
atq,amritsar,raja sansi international airport,india
atr,atar,atar mouakchott,mauritania
ats,artesia,artesia,"usa, nm"
att,atmautluak,atmautluak,"usa, ak"
atu,attu island,casco cove,"usa, ak"
atv,ati,ati,chad
atw,appleton,outagamie county,"usa, wi"
atx,atbasar,atbasar,kazakhstan
aty,watertown,watertown,"usa, sd"
atz,assiut,assiut,egypt
aua,aruba,queen beatrix international airport (reina beatrix),aruba
aub,itauba,itauba,brazil
auc,arauca,arauca,colombia
aud,augustus downs,augustus downs,australia
aue,abu rudeis,abu rudeis,egypt
auf,auxerre,auxerre branches,france
aug,augusta,augusta,"usa, me"
auh,abu dhabi,abu dhabi international,united arab emirates
aui,aua island,aua island,papua new guinea
auj,ambunti,ambunti,papua new guinea
auk,alakanuk,alakanuk,"usa, ak"
aul,aur island,aur island,marshall islands
aum,austin,austin,"usa, mn"
aun,auburn,auburn,"usa, ca"
auo,auburn,auburn-opelika,"usa, al"
aup,agaun,agaun,papua new guinea
auq,atuona,atuona,french polynesia
aur,aurillac,aurillac,france
aus,austin,austin-bergstrom international,"usa, tx"
aut,atauro,atauro,indonesia
auu,aurukun mission,aurukun mission,australia
auv,aumo,aumo,papua new guinea
auw,wausau,municipal,"usa, wi"
aux,araguaina,araguaina,brazil
auy,aneityum,aneityum,vanuatu
auz,aurora,municipal airport,"usa, il"
avb,aviano,aviano,italy
avf,avoriaz,avoriaz,france
avg,auvergne,auvergne,australia
avi,ciego de avila,maximo gomez,cuba
avk,arvaikheer,arvaikheer,mongolia
avl,asheville,hendersonville,"usa, nc"
avn,avignon,avignon-caum,france
avo,avon park,municipal,"usa, fl"
avp,scranton,wilkes-barre international,"usa, pa"
avu,avu avu,avu avu,solomon islands
avv,avalon,avalon,australia
avw,tucson,avra valley,"usa, az"
avx,catalina island,avalon bay,"usa, ca"
awa,awassa,awassa,ethiopia
awb,awaba,awaba,papua new guinea
awd,aniwa,aniwa,vanuatu
awe,alowe,alowe,gabon
awh,awareh,awareh,ethiopia
awk,wake island,wake island,us minor outlying islands
awm,west memphis,municipal,"usa, ar"
awn,alton downs,alton downs,australia
awp,austral downs,austral downs,australia
awr,awar,awar,papua new guinea
awz,ahwaz,ahwaz,iran
axa,anguilla,wallblake,anguilla
axb,alexandria bay,alexandria bay,"usa, ny"
axc,aramac,aramac,australia
axd,alexandroupolis,demokritos airport,greece
axe,xanxere,xanxere,brazil
axg,algona,algona,"usa, ia"
axk,ataq,ataq,yemen
axl,alexandria,alexandria,australia
axm,armenia,el eden,colombia
axn,alexandria,alexandria,"usa, mn"
axp,spring point,springpoint airport,bahamas
axr,arutua,arutua,french polynesia
axs,alt,municipal,"usa, ok"
axt,akita,akita,japan
axu,axum,axum,ethiopia
axv,wapakoneta,neil armstrong,"usa, oh"
axx,angel fire,angel fire,"usa, nm"
aya,ayapel,ayapel,colombia
ayc,ayacucho,ayacucho,colombia
ayd,alroy downs,alroy downs,australia
aye,fort devens,aaf heliport,"usa, ma"
ayg,yaguara,yaguara,colombia
ayh,alconbury,raf station,united kingdom
ayi,yari,yari,colombia
ayk,arkalyk,arkalyk,kazakhstan
ayl,anthony lagoon,anthony lagoon,australia
ayn,anyang,anyang,pr china
ayo,ayolas,ayolas,paraguay
ayp,ayacucho,yanamilla,peru
ayq,ayers rock,connellan,australia
ayr,ayr,ayr,australia
ays,waycross,ware county,"usa, ga"
ayt,antalya,antalya,turkey
ayu,aiyura,aiyura,papua new guinea
ayw,ayawasi,ayawasi,indonesia
ayz,amityville,zahns,"usa, ny"
azb,amazon bay,amazon bay,papua new guinea
azd,yazd,yazd,iran
azg,apatzingan,apatzingan,mexico
azi,abu dhabi,bateen,united arab emirates
azn,andizhan,andizhan,uzbekistan
azo,kalamazoo,battle creek international,"usa, mi"
azp,mexico city,atizapan,mexico
azr,adrar,adrar,algeria
azs,el catey,saman? el catey international airport,dominican republic
azt,zapatoca,zapatoca,colombia
azz,ambriz,ambriz,angola
baa,bialla,bialla,papua new guinea
bab,marysville,beale afb,"usa, ca"
bac,barranca de upia,barranca de upia,colombia
bad,shreveport,barksdale afb,"usa, la"
bae,barcelonnette,barcelonnette,france
baf,westfield,barnes,"usa, ma"
bag,baguio,loakan,philippines
bah,bahrain,bahrain international,bahrain
bai,buenos aires,buenos aires,costa rica
baj,bali,bali,papua new guinea
bak,baku,baku,azerbaijan
bal,batman,batman,turkey
bam,battle mountain,lander county,"usa, nv"
ban,basongo,basongo,congo (drc)
bao,ban mak khaen,udorn,thailand
bap,baibara,baibara,papua new guinea
baq,barranquilla,e cortissoz,colombia
bar,baker island,baker aaf,"usa, ak"
bas,balalae,balalae,solomon islands
bat,barretos,barretos,brazil
bau,bauru,bauru,brazil
bav,baotou,baotou,pr china
baw,biawonque,biawonque,gabon
bax,barnaul,barnaul,russia
bay,baia mare,baia mare,romania
baz,barbelos,barbelos,brazil
bba,balmaceda,teniente vidal,chile
bbb,benson,municipal,"usa, mn"
bbc,bay city,bay city,"usa, tx"
bbd,brady,curtis field,"usa, tx"
bbe,big bell,big bell,australia
bbf,burlington,burlington,"usa, ma"
bbg,butaritari,butaritari,kiribati
bbh,barth,barth,germany
bbi,bhubaneswar,bhubaneswar,india
bbj,bitburg,bitburg air base,germany
bbk,kasane,kasane,botswana
bbl,babolsar,babolsar,iran
bbm,battambang,battambang,cambodia
bbn,bario,bario,malaysia
bbo,berbera,berbera,somalia
bbp,bembridge,bembridge,united kingdom
bbq,barbuda,barbuda,antigua and barbuda
bbr,basse terre,baillif,guadeloupe
bbs,blackbush,blackbush,united kingdom
bbt,berberati,berberati,central african republic
bbu,bucharest,baneasa,romania
bbv,bereby,bereby,cote d'ivoire
bbw,broken bow,broken bow,"usa, ne"
bbx,blue bell,wings field,"usa, pa"
bby,bambari,bambari,central african republic
bbz,zambezi,zambezi,zambia
bca,baracoa,baracoa,cuba
bcb,blacksburg,virginia tech,"usa, va"
bcc,bear creek,bear creek,"usa, ak"
bcd,bacolod,bacolod,philippines
bce,bryce,bryce,"usa, ut"
bcf,bouca,bouca,central african republic
bcg,bemichi,bemichi,guyana
bch,baucau,english madeira,indonesia
bci,barcaldine,barcaldine,australia
bcj,baca grande,baca grande,"usa, co"
bck,bolwarra,bolwarra,australia
bcl,barra colorado,barra colorado,costa rica
bcm,bacau,bacau,romania
bcn,barcelona,barcelona,spain
bco,jinka,jinka,ethiopia
bcp,bambu,bambu,papua new guinea
bcq,brack,brack,libya
bcr,boca do acre,boca do acre,brazil
bcs,belle chasse,southern seaplane,"usa, la"
bct,boca raton,public,"usa, fl"
bcu,bauchi,bauchi,nigeria
bcv,belmopan,belmopan,belize
bcw,benguera island,benguera island,mozambique
bcx,beloreck,beloreck,russia
bcy,bulchi,bulchi,ethiopia
bcz,bickerton island,bickerton island,australia
bda,bermuda,bermuda international,bermuda
bdb,bundaberg,bundaberg,australia
bdc,barra do corda,barra do corda,brazil
bdd,badu island,badu island,australia
bde,baudette,baudette,"usa, mn"
bdf,bradford,rinkenberger,"usa, il"
bdg,blanding,blanding,"usa, ut"
bdh,bandar lengeh,bandar lengeh,iran
bdi,bird island,bird island,seychelles
bdj,banjarmasin,sjamsudin noor,indonesia
bdk,bondoukou,bondoukou,cote d'ivoire
bdl,windsor locks,hartford bradley international,"usa, ct"
bdm,bandirma,bandirma,turkey
bdn,badin,talhar,pakistan
bdo,bandung,husein sastranegara,indonesia
bdp,bhadrapur,bhadrapur,nepal
bdq,vadodara,vadodara,india
bdr,bridgeport,igor i. sikorsky mem.,"usa, ct"
bds,brindisi,papola casale,italy
bdt,gbadolite,gbadolite,congo (drc)
bdu,bardufoss,bardufoss,norway
bdv,moba,moba,congo (drc)
bdw,bedford downs,bedford downs,australia
bdx,broadus,broadus,"usa, mt"
bdy,bandon,state,"usa, or"
bdz,baindoung,baindoung,papua new guinea
bea,bereina,bereina,papua new guinea
beb,benbecula,benbecula,united kingdom
bec,wichita,beech,"usa, ks"
bed,bedford,hanscom field,"usa, ma"
bee,beagle bay,beagle bay,australia
bef,bluefields,bluefields,nicaragua
beg,belgrade,aerodrom beograd,serbia
beh,benton harbor,ross field,"usa, mi"
bei,beica,beica,ethiopia
bej,berau,berau,indonesia
bek,bareli,bareli,india
bel,belem,val de cans,brazil
bem,bossembele,bossembele,central african republic
ben,benghazi,benina international,libya
beo,newcastle,belmont,australia
bep,bellary,bellary,india
beq,bury st edmunds,honington,united kingdom
ber,berlin,metropolitan area,germany
bes,brest,guipavas,france
bet,bethel,bethel airport,"usa, ak"
beu,bedourie,bedourie,australia
bev,beer sheba,beer sheba,israel
bew,beira,beira,mozambique
bex,benson,raf station,united kingdom
bey,beirut,international,lebanon
bez,beru,beru,kiribati
bfb,blue fox bay,blue fox bay,"usa, ak"
bfc,bloomfield,bloomfield,australia
bfd,bradford,bradford,"usa, pa"
bfe,bielefeld,bielefeld,germany
bff,scottsbluff,scotts bluff county,"usa, ne"
bfg,bullfrog basin,bullfrog basin,"usa, ut"
bfh,curitiba.,bacacheri,brazil
bfi,seattle,boeing fld international,"usa, wa"
bfj,ba,ba,fiji
bfk,denver,buckley angb,"usa, co"
bfl,bakersfield,meadows field,"usa, ca"
bfm,mobile,mob aerospace,"usa, al"
bfn,bloemfontein,bloemfontein international,south africa
bfo,buffalo range,buffalo range,zimbabwe
bfp,beaver falls,beaver falls,"usa, pa"
bfq,bahia pinas,bahia pinas,panama
bfr,bedford,virgil i grissom muni,"usa, in"
bfs,belfast,belfast international airport,united kingdom
bft,beaufort,county,"usa, sc"
bfu,bengbu,bengbu,pr china
bfv,buri ram,buri ram,thailand
bfx,bafoussam,bafoussam,cameroon
bga,bucaramanga,palo negro,colombia
bgb,booue,booue,gabon
bgc,braganca,braganca,portugal
bgd,borger,borger,"usa, tx"
bge,bainbridge,decatur county,"usa, ga"
bgf,bangui,bangui,central african republic
bgg,bongouanou,bongouanou,cote d'ivoire
bgh,boghe,abbaye,mauritania
bgi,bridgetown,grantley adams international,barbados
bgj,borgarfjordur eystri,borgarfjordur eystri,iceland
bgk,big creek,big creek,belize
bgl,baglung,baglung,nepal
bgm,greater binghamton airport,johnson city,"usa, ny"
bgn,brueggen,r.a.f.,germany
bgo,bergen,flesland,norway
bgo2,bergen,metropolitan area,norway
bgp,bongo,bongo,gabon
bgq,big lake,big lake,"usa, ak"
bgr,bangor,international,"usa, me"
bgs,big spring,webb afb,"usa, tx"
bgt,bagdad,bagdad,"usa, az"
bgu,bangassou,bangassou,central african republic
bgv,bento goncalves,bento goncalves,brazil
bgw,baghdad,al muthana,iraq
bgw2,baghdad,metropolitan area,iraq
bgx,bage,bage,brazil
bgy,milan,orio al serio,italy
bgz,braga,braga,portugal
bha,bahia de caraquez,bahia de caraquez,ecuador
bhb,bar harbour,bar harbour,"usa, me"
bhc,bhurban,bhurban heliport,pakistan
bhd,belfast,belfast city airport,united kingdom
bhe,blenheim,blenheim,new zealand
bhf,bahia cupica,bahia cupica,colombia
bhg,brus laguna,brus laguna,honduras
bhh,bisha,bisha,saudi arabia
bhi,bahia blanca,comandante,argentina
bhj,bhuj,rudra mata,india
bhk,bukhara,bukhara,uzbekistan
bhl,bahia angeles,bahia angeles,mexico
bhm,birmingham,birmingham,"usa, al"
bhn,beihan,beihan,yemen
bho,bhopal,bhopal,india
bhp,bhojpur,bhojpur,nepal
bhq,broken hill,broken hill,australia
bhr,bharatpur,bharatpur,nepal
bhs,bathurst,raglan,australia
bht,brighton downs,brighton downs,australia
bhu,bhavnagar,bhavnagar,india
bhv,bahawalpur,bahawalpur,pakistan
bhw,sargodha,bhagatanwala apt,pakistan
bhx,birmingham,international,united kingdom
bhy,beihai,beihai,pr china
bhz,belo horizonte,metropolitan area,brazil
bia,bastia,poretta,france
bib,baidoa,baidoa,somalia
bic,big creek,big creek,"usa, ak"
bid,block island,block island,"usa, ri"
bie,beatrice,beatrice,"usa, ne"
bif,el paso,biggs aaf,"usa, tx"
big,big delta,intermediate field,"usa, ak"
bih,bishop,bishop,"usa, ca"
